model,adj_r2,significant_vars,formula
weather_to_Severity_weather_bad_WindSpeed(mph),0.00021805001863550721,3,"Severity ~ (weather_bad + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_weather_bad_Precipitation(in),0.005788038013533114,2,"Severity ~ (weather_bad + Q(""Precipitation(in)""))**2"
weather_to_Severity_weather_bad_weather_good,9.881911288223133e-05,2,Severity ~ (weather_bad + weather_good)**2
weather_to_Severity_weather_bad_weather_neutral,4.6076582822962564e-05,2,Severity ~ (weather_bad + weather_neutral)**2
weather_to_Severity_weather_bad_weather_unknown,0.0003708863728251188,3,Severity ~ (weather_bad + weather_unknown)**2
weather_to_Severity_weather_neutral_Temperature(F),0.00035892608655641034,2,"Severity ~ (weather_neutral + Q(""Temperature(F)""))**2"
weather_to_Severity_weather_neutral_WindChill(F),0.0018556006982090034,4,"Severity ~ (weather_neutral + Q(""WindChill(F)""))**2"
weather_to_Severity_weather_neutral_Humidity(%),0.0016369685405702716,4,"Severity ~ (weather_neutral + Q(""Humidity(%)""))**2"
weather_to_Severity_weather_neutral_Pressure(in),8.084209342740234e-05,2,"Severity ~ (weather_neutral + Q(""Pressure(in)""))**2"
weather_to_Severity_weather_neutral_WindSpeed(mph),-3.7429850721082403e-06,1,"Severity ~ (weather_neutral + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_weather_neutral_Precipitation(in),0.00021207037423542907,3,"Severity ~ (weather_neutral + Q(""Precipitation(in)""))**2"
weather_to_Severity_weather_neutral_weather_good,0.00020822602860381956,3,Severity ~ (weather_neutral + weather_good)**2
weather_to_Severity_weather_neutral_weather_bad,4.607658282385074e-05,2,Severity ~ (weather_neutral + weather_bad)**2
weather_to_Severity_weather_neutral_weather_unknown,0.0002931485951018775,2,Severity ~ (weather_neutral + weather_unknown)**2
weather_to_Severity_weather_unknown_Temperature(F),0.0006558785372120512,4,"Severity ~ (weather_unknown + Q(""Temperature(F)""))**2"
weather_to_Severity_weather_unknown_WindChill(F),0.0019646809738350646,4,"Severity ~ (weather_unknown + Q(""WindChill(F)""))**2"
weather_to_Severity_weather_unknown_Humidity(%),0.0016801387733764717,4,"Severity ~ (weather_unknown + Q(""Humidity(%)""))**2"
weather_to_Severity_weather_unknown_Pressure(in),0.00023974112766422806,2,"Severity ~ (weather_unknown + Q(""Pressure(in)""))**2"
weather_to_Severity_weather_unknown_WindSpeed(mph),0.00013700758149481906,3,"Severity ~ (weather_unknown + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_weather_unknown_Precipitation(in),4.906984796593239e-05,2,"Severity ~ (weather_unknown + Q(""Precipitation(in)""))**2"
weather_to_Severity_weather_unknown_weather_good,0.0003336245056395626,3,Severity ~ (weather_unknown + weather_good)**2
weather_to_Severity_weather_unknown_weather_bad,0.00037088637282522985,3,Severity ~ (weather_unknown + weather_bad)**2
weather_to_Severity_weather_unknown_weather_neutral,0.0002931485951018775,2,Severity ~ (weather_unknown + weather_neutral)**2
weather_to_Severity_Temperature(F)_WindChill(F)_Humidity(%),0.010725884674200548,6,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_WindChill(F)_Pressure(in),0.011402686080531743,7,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_WindChill(F)_WindSpeed(mph),0.006905240546140168,6,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_WindChill(F)_Precipitation(in),0.004540555479701558,3,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_WindChill(F)_weather_good,0.00662626070369654,5,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + weather_good)**2"
weather_to_Severity_Temperature(F)_WindChill(F)_weather_bad,0.006297115670520714,5,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + weather_bad)**2"
weather_to_Severity_Temperature(F)_WindChill(F)_weather_neutral,0.005755378265795974,5,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + weather_neutral)**2"
weather_to_Severity_Temperature(F)_WindChill(F)_weather_unknown,0.0059892710359080725,6,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + weather_unknown)**2"
weather_to_Severity_Temperature(F)_Humidity(%)_WindChill(F),0.010725884674200548,6,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_Humidity(%)_Pressure(in),0.005828487722775222,7,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_Humidity(%)_WindSpeed(mph),0.0055447921170626024,7,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_Humidity(%)_Precipitation(in),0.015216065498823705,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_Humidity(%)_weather_good,0.00591119005650631,6,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + weather_good)**2"
weather_to_Severity_Temperature(F)_Humidity(%)_weather_bad,0.005795402213523149,5,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + weather_bad)**2"
weather_to_Severity_Temperature(F)_Humidity(%)_weather_neutral,0.005533796803615987,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + weather_neutral)**2"
weather_to_Severity_Temperature(F)_Humidity(%)_weather_unknown,0.005910810965663149,7,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)"") + weather_unknown)**2"
weather_to_Severity_Temperature(F)_Pressure(in)_WindChill(F),0.011402686080531854,7,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_Pressure(in)_Humidity(%),0.005828487722775222,7,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_Pressure(in)_WindSpeed(mph),0.001392932253390211,5,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_Pressure(in)_Precipitation(in),0.00918089880349382,5,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_Pressure(in)_weather_good,0.0014522577883797627,5,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + weather_good)**2"
weather_to_Severity_Temperature(F)_Pressure(in)_weather_bad,0.0012937924961254899,7,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + weather_bad)**2"
weather_to_Severity_Temperature(F)_Pressure(in)_weather_neutral,0.0007015589335559458,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + weather_neutral)**2"
weather_to_Severity_Temperature(F)_Pressure(in)_weather_unknown,0.00096654263685092,5,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)"") + weather_unknown)**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_WindChill(F),0.006905240546139946,6,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_Humidity(%),0.0055447921170626024,7,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_Pressure(in),0.001392932253390211,5,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_Precipitation(in),0.0007882165379320405,4,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_weather_good,0.0020280075575621614,4,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + weather_good)**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_weather_bad,0.0016537282582146373,4,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + weather_bad)**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph)_weather_neutral,0.0007060418813241709,4,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + weather_neutral)**2"
